Sequence_ID	biosample_accession
ASV1142	SAMN30974255,SAMN30974254,SAMN30974273,SAMN30974270,SAMN30974272,SAMN30974274,SAMN30974306,SAMN30974292,SAMN30974253,SAMN30974307,SAMN30974271,SAMN30974291,SAMN30974290
ASV1143	SAMN30974270,SAMN30974274,SAMN30974255,SAMN30974292,SAMN30974253,SAMN30974271,SAMN30974252,SAMN30974291,SAMN30974307,SAMN30974251,SAMN30974272,SAMN30974305,SAMN30974306,SAMN30974290
ASV1145	SAMN30974307,SAMN30974273,SAMN30974255,SAMN30974254,SAMN30974274,SAMN30974291,SAMN30974306,SAMN30974292,SAMN30974270,SAMN30974252,SAMN30974271,SAMN30974290,SAMN30974305,SAMN30974272
ASV1148	SAMN30974255,SAMN30974254,SAMN30974274,SAMN30974307,SAMN30974251,SAMN30974292,SAMN30974252,SAMN30974273,SAMN30974291
ASV1149	SAMN30974254,SAMN30974255,SAMN30974251,SAMN30974274,SAMN30974252,SAMN30974273,SAMN30974253,SAMN30974292,SAMN30974272,SAMN30974307,SAMN30974291
ASV115	SAMN30974272,SAMN30974254,SAMN30974252,SAMN30974290,SAMN30974253,SAMN30974270,SAMN30974255,SAMN30974305,SAMN30974306,SAMN30974273,SAMN30974271,SAMN30974274,SAMN30974292,SAMN30974291,SAMN30974307
ASV1150	SAMN30974255,SAMN30974272,SAMN30974307,SAMN30974253,SAMN30974292,SAMN30974271,SAMN30974251,SAMN30974252,SAMN30974291,SAMN30974274,SAMN30974270,SAMN30974305,SAMN30974254
ASV1151	SAMN30974270,SAMN30974272,SAMN30974271,SAMN30974253,SAMN30974252,SAMN30974251,SAMN30974305,SAMN30974290,SAMN30974306,SAMN30974291,SAMN30974273
ASV1152	SAMN30974307,SAMN30974292,SAMN30974254,SAMN30974274,SAMN30974270,SAMN30974291,SAMN30974255,SAMN30974251,SAMN30974306,SAMN30974273,SAMN30974272,SAMN30974271
ASV1153	SAMN30974306,SAMN30974254,SAMN30974307,SAMN30974272,SAMN30974305,SAMN30974253,SAMN30974273,SAMN30974251,SAMN30974252,SAMN30974291,SAMN30974292,SAMN30974270,SAMN30974290,SAMN30974274,SAMN30974271
ASV1154	SAMN30974307,SAMN30974255,SAMN30974254,SAMN30974273,SAMN30974274,SAMN30974253,SAMN30974251,SAMN30974306,SAMN30974291,SAMN30974252,SAMN30974305,SAMN30974292,SAMN30974270,SAMN30974290
ASV1155	SAMN30974273,SAMN30974307,SAMN30974254,SAMN30974306,SAMN30974252,SAMN30974272,SAMN30974271,SAMN30974270,SAMN30974305,SAMN30974253,SAMN30974292,SAMN30974291
ASV1156	SAMN30974252,SAMN30974251,SAMN30974254,SAMN30974253,SAMN30974272,SAMN30974273,SAMN30974307,SAMN30974270,SAMN30974271,SAMN30974292,SAMN30974306,SAMN30974305,SAMN30974290
ASV1157	SAMN30974251,SAMN30974255,SAMN30974252,SAMN30974253,SAMN30974254,SAMN30974273,SAMN30974272,SAMN30974270,SAMN30974271,SAMN30974291,SAMN30974292,SAMN30974290
ASV1158	SAMN30974254,SAMN30974252,SAMN30974291,SAMN30974255,SAMN30974270,SAMN30974251,SAMN30974306,SAMN30974272,SAMN30974271,SAMN30974273,SAMN30974307,SAMN30974253,SAMN30974292,SAMN30974305
